Company_Name,Predicted_Future_Return,Prediction_Std,Lower_Bound,Upper_Bound,Feature_Price to book value,Feature_Altman Z Score,Feature_Price to Sales,Feature_Price to Earning,Feature_Public holding
Sri Adhik. Bros.,7648.894028473255,2.756330074806,-65.08563114427615,1719689.3197678307,5.835767550392437,1.1901295721290222,1.2918408088802724,-0.13088804405003762,0.35256762498250366
Artificial Elect,3188.2704077151707,1.024664299171996,341.3220880286768,24400.750285475602,2.7126556483193522,16.958781761550142,0.20614069298850726,5.251639237212328,1.963024276860316
Ujaas Energy,2885.2874031334622,1.7028594536452644,6.043222931506184,83940.64524767976,2.03041929964512,2.0540739197010924,0.4185559347884705,0.2210488461023018,-1.5123159545327978
Bharat Global,2494.760563874035,1.1023799790091982,199.04221904086188,22414.48777176146,1.2997002531524198,1.6431583045793383,0.09951657161440806,3.540971898964417,3.6299593200024853
Aayush Wellness,1942.3881084790005,0.9371091631743325,225.42794947322196,12718.042188474263,1.251000144132972,2.0088335906897177,-0.005408227825291435,2.2136243582709656,3.630507653898256
Marsons,1856.8399357020944,1.1911701914461712,89.5006772071611,20106.90685855699,0.6657291910956766,0.898673443290761,0.042306066489617954,0.6840812284581442,0.6881479691940194
Harshil Agrotech,1448.16331959856,1.3314741231584566,13.87886216236599,20947.010996062774,0.039150109872242406,0.17378577521448466,-0.0285656541862286,0.05149148068113651,3.6294109861067145
Vuenow Infratech,1289.7319951974337,1.4200523812299914,-14.067377394574512,22375.22489036079,0.8831403920753554,0.12083165738550154,-0.03607932273930966,-0.0793005219776013,1.6164772547333919
Eraaya Lifespace,1193.5764410228703,1.626561442190288,-46.637637815357394,31258.057257273635,-0.04868401532354781,-0.07284698617010983,0.13008770641463807,9.636219951570537,0.21438748324835039
Hind.Appliances,1130.954306196403,1.543733415593481,-40.27041184096088,25268.47399498032,0.23938582597452657,0.010753806150450062,-0.0465834646965549,4.7383045375633746,-0.2533413298438438
Viceroy Hotels,980.3616259626444,1.5115270905758431,-44.161812149254395,20802.92124043318,0.08785021889169045,-0.10224277598856107,-0.04186034932006161,3.446584068892138,-1.392230831359069
Ceenik Exports,968.9306268690499,1.490334215413688,-42.40942353053532,19740.271709460816,-0.020203147995209884,-0.03344411896665392,-0.0465834646965549,-0.06465516518994556,0.09101235669999906
Kaycee Inds.,933.3780287877153,0.9003514944029996,76.95570119326571,5934.675024202179,0.9348842579085188,1.104652452798774,-0.00865693152340852,0.5108475795984447,-0.31694806175321605
Aerpace Indus,926.1241800048525,1.0046693439646146,43.22146483307684,7251.766957682018,1.0503296056287283,1.1897126105713138,-0.0465834646965549,-0.13088804405003762,1.0780133690868097
BITS,921.7071161323809,1.0568529581188852,28.740448791987173,8008.449527329268,0.0882850412936498,0.20610029593689552,0.3593628874068807,0.053523897541464215,0.058112322953771965
Ace Soft. Exp.,850.225841547565,0.9507448989917695,47.41322274264982,6025.157113762367,0.04088939948007984,0.09685636781726116,-0.033780240122180644,-0.09000059897756202,0.1617474292543871
Cinerad Communic,842.0447122244341,1.271845651423893,-22.11485341352135,11294.319439903098,0.15133428957775666,0.15585642823301787,-0.022168206903782656,-0.13088804405003762,-0.2418263180326643
Vantage Knowledg,816.2782305019665,0.7682789644994009,103.26149305465249,4030.471458585983,1.413188900063812,2.312381604701526,0.4341663725583972,2.072281721028468,3.4259791107758777
Diamond Power,795.9729502455497,1.2473396145777058,-22.27907093115364,10228.84626045335,0.1680749520531919,-0.057627889313748556,-0.011089294292255159,1.1841155530652474,-1.338494109573565
Ahm. Steelcraft,794.1669134181464,1.2066852019809042,-16.00229593493234,9418.527654427158,-0.015854923975616303,0.6386979120594937,3.0966373233455133,-0.13088804405003762,-0.09267949838310187
Constronics,762.1149558355486,0.7896375637567228,83.40539871972415,3952.455392608891,1.8754051133466092,0.6497473933387697,0.024679766424962182,0.5067827458777893,3.0476287226942667
Kesar India,752.6593973750354,0.750040908931441,96.03240683677299,3608.713572737598,1.5888571504553926,0.6401572775114736,0.02358020517329179,0.467808163732681,-1.4947692698681434
LS Industries,744.4437733955137,2.1346143866482232,-87.13083736141722,55310.38733076285,2.895715879544241,2.8452584754530252,43.31588898637639,-0.13088804405003762,-0.51654159981366
City Pulse Multi,734.4210868164932,0.9267349733732446,35.685217721388426,5031.425234204158,0.0945899661220605,0.20443244970606145,1.4780165208108285,20.79846256787314,2.9725069789737155
Ashika Credit,724.9046191972342,0.7780444270727975,79.52252535427084,3690.430362040056,0.04154163308301886,0.25300847117910497,0.008469567972306167,-0.06749457109775636,0.07072400255649254
FratelliVineyard,715.4601870709182,0.8421055764945307,56.52655415070462,4148.322722657622,0.8977069425409939,0.6462032200982472,-0.045958713985378534,0.21955442194029612,0.47978108880124815
Technvision Ven.,711.7918701272465,1.0230524827413923,9.29614487924594,5929.545151229117,6.791942012301064,0.3067965121235051,-0.03371360004632184,0.06204211526489666,-0.4452581933635014
Sobhagya Mercant,674.4897402938304,1.2307325806553693,-30.594330670174983,8542.44035987769,-0.10825468439197977,-0.08014381343000909,-0.04917409764556622,-0.19783824650789245,-0.482544898275892
ITCONS E-Soluti.,626.2243737132991,0.7605093579842478,63.573213668325735,3124.2555437265914,0.2319938451412175,0.3180544741816354,-0.03619594287206258,0.16297552316676076,0.37121097743869913
Kody Technolab,603.5673788810709,0.7380311266394961,65.60784937177068,2889.031368400578,0.47310286702768123,0.6074257952313541,0.010468770248070521,0.20604482751576475,-0.37616812249642456
