Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
BAG Films,72.32,190.99,2.67,-1.2,1.16,-2.25,-1.11,-1.49,40.38,34.12,31.41,29.44,31.4,9.49,-1.86,-0.51,-0.91,32.59,-9.54,19.46,8.88,-4.23,3,1.26,1.41,9,5.04,-1.53,0,0,46.86,53.07,0,2.39,1.32,0.71,1.98,Y,Y,Y,Y,1,0,0,0,0,1
Baheti Recycling,82.34,380.01,18.93,20.65,19.91,16.34,14.26,,52.78,36.38,36.38,36.38,36.38,49.86,23.75,29.02,,76.95,40.83,37.52,,0.73,3,9.13,0.89,4,1.68,1.48,0.14,7.2,73.4,26.02,0,7.93,0.51,2.44,1.92,Y,Y,N,Y,1,0,0,0,1,2
Baid Finserv,-33.72,177.46,8.03,6.9,7.08,6.97,8.23,8.64,17.11,24.21,18.82,19.13,17.83,6.93,2.54,12.74,24.54,19.69,2.28,15.51,20.56,2.91,4,1.06,2.67,5,19.58,18.63,0.68,9.29,35.41,64.55,0,1.78,3.21,1.45,1.59,N,Y,N,Y,0,0,0,0,0,0
Bajaj Auto,89.93,285013.11,26.48,20.5,22.01,21.81,21.78,23.07,38.67,21.09,20.11,19.58,19.87,17.38,8.13,10.9,8.34,18.15,11.47,10.1,9.12,3.62,5,9.2,5.83,7,17.21,16.65,0.78,28.97,55.04,21.89,0.01,12.9,1.36,0.17,62.84,Y,Y,N,Y,0,1,1,0,1,3
Bajaj Consumer,-8.25,3144.18,18.84,17.31,19.17,23.61,28.07,32.05,21.49,18.43,17.29,18.97,22.89,2.2,1.39,3.07,4,-10.73,-7.02,-4.75,-0.51,-2.82,3,3.79,3.28,8,15.51,14.4,1.36,27.56,40.95,27.49,0,7.96,1.04,0.01,206.03,Y,Y,N,Y,1,0,0,0,1,2
Bajaj Electrical,-19.14,9733.44,7.74,11.6,9.27,8.07,9.4,9.33,73.39,60.34,61.79,57.5,55.23,0.48,-6.97,1.25,1.49,-6.48,-5.22,2.47,37.72,-14.77,1,6.75,2.08,3,2.79,4.33,0.36,26.22,62.76,13.41,2.55,6.16,0.85,0.15,3.42,Y,Y,Y,N,1,0,0,0,1,2
Bajaj Finance,-7.95,427735.74,22.12,23.48,21.34,19.83,20.01,,27.82,36.33,41.46,47.77,45.36,27.26,24.35,27.62,,47.08,27.59,32.03,,0.95,4,4.93,6.87,4,26.31,27.81,0.52,15.4,54.7,9.36,0,2.43,2.39,3.74,1.94,N,Y,N,N,1,0,0,1,1,3
Bajaj Finserv,9,272614.09,15.28,14.81,14.19,13.77,13.9,14.12,32.07,36.71,38.09,36.32,33.97,22.13,20.97,23.99,33.76,22.04,20.36,20.06,18.07,1.57,4,3.99,2.16,5,14.14,14.88,0.06,1.96,60.65,22.84,0.01,1.1,0.25,4.66,2.06,N,Y,N,N,1,0,0,1,1,3
Bajaj Healthcare,-17.66,939.45,-12.23,12.36,7.77,13.71,13.74,13.27,30.31,15.48,15.34,16.36,16.73,-10.35,5.04,10.82,8.73,,,,,,1,3.37,1.97,5,-8.34,6.66,0.29,-3.29,59.19,37.77,0,3.82,0.65,1.2,2.05,Y,Y,N,N,0,0,0,0,1,1
Bajaj Hindusthan,24.89,4107.99,-1.9,-4.04,-4.75,-5.36,-6.81,-10.13,,,7.19,9.31,9.31,-2.89,-2.15,4.79,-0.85,20.4,7.69,2.4,7.04,,5,0.92,0.67,6,-1.4,-2.13,0,0,24.95,62.46,100,1.02,0.14,0.86,0.51,N,Y,Y,Y,0,0,0,0,0,0
