Name,Return over 1year,Industry,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Scale,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Sundram Fasten.,6.15,Auto Ancillaries,28737.16,16.22,17.35,17.2,17,19.04,19.74,53.62,44.32,43.48,37.55,34.54,15.85,4.45,8.02,7.55,13.65,2.64,6.31,15.8,20.31,2,8.4,4.99,7,9.28,8.74,0.5,27.59,46.95,19.45,0,12.22,1.12,0.19,25.51,Y,Y,Y,Y,Mid,0,0,0,1,1,2
Motherson Wiring,1.98,Auto Ancillaries,27592.13,42.45,39.79,48.17,,,,41.55,52.41,52.41,52.41,52.41,28.36,,,,,,,,,6,16.46,3.19,9,7.66,6.88,1.28,55.41,61.73,11.41,0,18.98,1.01,0.15,36.04,N,Y,N,Y,Mid,0,0,0,0,1,1
ZF Commercial,-12.7,Auto Ancillaries,26330.42,15.4,13.86,12.19,10,11.54,12.59,65.14,78.71,82.33,73.2,71.37,26.63,5.8,9.02,13.05,64.31,8.87,10.39,13.16,7.34,2,9.45,7,7,10.58,9.1,0.12,7.96,67.49,7.36,0,16.01,4.56,0,100.82,N,Y,N,Y,Mid,0,0,0,0,1,1
Amara Raja Ener.,99.97,Auto Ancillaries,22728.09,14.02,14.54,13.53,14.72,14.98,16.4,24.19,16.44,17.24,20.58,25.68,16.35,10.64,11.31,12.6,9.46,11.62,8.56,8.49,1.84,6,3.36,1.96,6,7.95,7.39,0.8,20,32.86,29.43,0,7.21,0.89,0.02,39.59,Y,Y,N,Y,Mid,1,0,1,0,0,2
JBM Auto,29.11,Auto Ancillaries,18578.99,15.92,12.9,15.78,13.39,14.27,15.19,102.05,75.71,44.48,32.8,22.43,36.21,17.81,18.79,13.89,52.22,8.95,13.1,11.63,8.36,4,15.91,3.57,9,3.78,3.24,0.1,9.92,67.53,29.14,0,8.14,0.67,1.82,2.21,Y,Y,N,Y,Mid,0,0,1,0,1,2
Bombay Burmah,80.83,Auto Ancillaries,18401.99,16.33,-70.09,-17.57,-6.49,-2.16,1.02,16.53,16.56,16.23,19.2,15.98,8.5,8.41,8.88,8.93,24.43,2.78,7.79,13.54,5.95,6,3.94,1.06,7,10.55,-20.09,0.05,1.22,74.05,14.97,0,5.43,0.52,0.46,12.49,N,N,Y,Y,Mid,0,0,0,0,1,1
HBL Power System,89.26,Auto Ancillaries,14534.72,27.73,10.72,17.18,12.01,9.97,8.65,44.36,39.65,39.72,32.81,36.18,34.79,12.02,6.74,5.53,160.11,66.14,33.27,34.95,0.67,4,11.91,6.36,7,13.48,7.12,0.1,4.93,59.11,35.03,0,17.88,1.68,0.06,34.07,Y,Y,Y,Y,Small,0,1,1,0,1,3
Craftsman Auto,12.34,Auto Ancillaries,12478.86,20.02,19.75,18.66,15.91,14.91,,49.85,31.19,32.83,32.83,32.83,41.84,19.62,22.08,,46.31,24.41,-27.62,,1.94,4,4.48,2.71,6,7.56,7.88,0.22,7.8,48.7,13.14,0,5.4,0.78,0.7,3.02,Y,Y,N,N,Small,1,0,0,0,1,2
Minda Corp,42.35,Auto Ancillaries,11459.08,12.79,19.56,15.21,8.7,10.62,11.85,46.54,32.07,29.65,26.69,23.14,25.24,8.51,12.34,11.33,34.54,6.56,11.79,11.26,6.08,3,5.8,2.4,7,4.9,6.62,0.29,14.73,64.84,7.07,0,8.21,1.05,0.27,7.4,Y,Y,N,N,Small,0,0,0,0,1,1
Sansera Enginee.,73.38,Auto Ancillaries,9244.78,14.74,13.32,13.97,13.37,,,48.5,30.45,30.58,30.58,30.58,21.97,11.6,,,14.67,9.26,,,3.97,4,5.96,3.19,7,6.66,6.31,0.2,8.66,30.43,11.47,0,7.66,0.59,0.66,4.41,Y,Y,N,Y,Small,0,0,1,0,0,1
Shriram Pistons,88.64,Auto Ancillaries,8520.12,25.21,20.77,20.52,16.14,15.93,15.44,18.84,11.75,13.6,16.35,17.88,24.61,9.58,11.27,10.2,71.23,26.03,20.97,20.28,0.73,5,4.42,2.65,5,14.09,11.09,0.52,9.95,46.75,39.24,0,7.4,1.81,0.25,19.44,Y,Y,N,Y,Small,1,0,1,0,1,3
ASK Automotive,,Auto Ancillaries,8013.85,23.81,19.23,19,19.09,,,40.93,45.7,45.7,45.7,45.7,24.71,10.9,,,23.9,-18.35,,,4.11,6,9.81,2.5,8,5.81,4.8,0.25,11.35,78.95,7.38,0,11.64,0.66,0.42,8.91,N,N,N,Y,Small,0,0,0,0,1,1
Varroc Engineer,11.26,Auto Ancillaries,7862.39,41.91,-55.86,-27.08,-18.33,-7.15,,14.94,19.45,18.08,16.46,16.46,19.97,-8.9,-2.93,,40.86,1.63,-24.85,,3.55,3,5.25,1.03,9,6.94,-12.02,0,0,75,8.54,0,5.3,0.43,0.93,2.61,N,N,Y,Y,Small,0,0,0,0,1,1
Suprajit Engg.,30.53,Auto Ancillaries,6689.44,12.96,13.23,13.92,14.36,15.67,16.57,38.82,32.45,31.01,29.77,29.13,20.85,12.74,13.37,18.28,5.87,4.8,4.94,11.28,8.46,1,4.91,2.27,4,5.79,5.55,0.52,11.59,44.64,31.86,0,6.65,0.8,0.52,5.59,Y,Y,N,Y,Small,0,0,0,0,1,1
Gabriel India,29.37,Auto Ancillaries,6165.2,19.58,16.15,16.3,14.53,15.31,16.23,30.9,22.13,22.42,21.88,21.4,25.41,9.99,11.91,10.09,45.32,14.11,12.07,14.83,2.19,4,5.73,1.78,9,5.5,4.45,0.93,31.02,55,26.6,0,9.55,1.5,0.01,71.45,Y,Y,Y,Y,Small,0,0,1,1,1,3
Sharda Motor,117.43,Auto Ancillaries,5937.41,30,28.82,29.53,25.71,25.01,24.2,18.78,14.35,14.79,13.95,14.45,17.39,19.77,15.22,13.09,53.17,26.5,24.19,33.54,0.71,6,5.79,2.09,8,9.65,7.37,0.5,0.99,64.31,21.89,0,9.3,0.87,0.02,194.81,Y,Y,N,Y,Small,1,1,1,0,1,4
Pricol Ltd,31.7,Auto Ancillaries,5468.82,18.79,18.29,16.03,9.13,0.94,,35.46,33.45,32.03,34.19,34.94,17.15,4.61,6.38,,45.91,23.18,47.78,,1.53,6,6.47,2.32,9,6.41,5.98,0,0,38.51,30.05,0,9.29,0.79,0.07,13.17,Y,Y,Y,Y,Small,1,0,1,0,0,2
